Código do Programa;Nome do Programa;Área;Código da Instituição;Instituição;Início Mestrado;Início Doutorado;data Atualizacao
23001011020P6;BIOQU�MICA;8;;UFRN;1996;;2019/12/13 16:56:35.927
33004030077P0;BIOTECNOLOGIA;8;;UNESP/ARAR;1995;1995;2019/12/13 16:56:35.931
31033016002P9;BIOCI�NCIAS E BIOTECNOLOGIA;8;;UENF;1994;1994;2019/12/13 16:56:35.932
30001013002P8;CI�NCIAS FISIOL�GICAS;8;;UFES;1989;1993;2019/12/13 16:56:36.169
33032017005P7;BIOTECNOLOGIA;8;;UNAERP;1999;;2019/12/13 16:56:36.169
22003010007P0;CI�NCIAS FISIOL�GICAS;8;;FUNECE;1999;;2019/12/13 16:56:36.170
25001019009P8;BIOQU�MICA E FISIOLOGIA;8;;UFPE;1967;;2019/12/13 16:56:36.407
33002029026P4;IMUNOLOGIA B�SICA E APLICADA;9;;USP/RP;1990;1990;2019/12/13 16:56:36.410
33002010121P1;IMUNOLOGIA;9;;USP;1983;1983;2019/12/13 16:56:36.417
33009015003P3;MICROBIOLOGIA E IMUNOLOGIA;9;;UNIFESP;1971;1972;2019/12/13 16:56:36.419
32001010008P1;CI�NCIAS BIOL�GICAS (MICROBIOLOGIA);9;;UFMG;1970;1993;2019/12/13 16:56:36.421
33002010026P9;CI�NCIAS (BIOLOGIA DA RELA��O PAT�GENO-HOSPEDEIRO);9;;USP;1976;1976;2019/12/13 16:56:36.427
31010016001P0;BIOLOGIA PARASIT�RIA;9;;FIOCRUZ;1976;1992;2019/12/13 16:56:36.432
31001017017P8;CI�NCIAS (MICROBIOLOGIA);9;;UFRJ;1965;1965;2019/12/13 16:56:36.433
33002010022P3;CI�NCIAS BIOL�GICAS (MICROBIOLOGIA);9;;USP;1973;1973;2019/12/13 16:56:36.435
32001010010P6;PARASITOLOGIA;9;;UFMG;1969;1977;2019/12/13 16:56:36.724
15001016040P4;BIOLOGIA DE AGENTES INFECCIOSOS E PARASIT�RIOS;9;;UFPA;2004;2005;2019/12/13 16:56:36.725
32006012004P8;IMUNOLOGIA E PARASITOLOGIA APLICADAS;9;;UFU;1992;2000;2019/12/13 16:56:36.725
40002012016P3;MICROBIOLOGIA;9;;UEL;1989;2002;2019/12/13 16:56:36.725
53001010031P6;PATOLOGIA MOLECULAR;9;;UNB;1988;1988;2019/12/13 16:56:36.725
33004153074P9;MICROBIOLOGIA;9;;UNESP/SJRP;2006;;2019/12/13 16:56:36.725
31062016001P1;BIOTECNOLOGIA EM SA�DE E MEDICINA INVESTIGATIVA;9;;CPqGM/FIOC;2006;2006;2019/12/13 16:56:36.725
28001010025P5;IMUNOLOGIA;9;;UFBA;1990;1998;2019/12/13 16:56:36.725
40001016044P0;MICROBIOLOGIA, PARASITOLOGIA E PATOLOGIA;9;;UFPR;2003;;2019/12/13 16:56:36.725
42003016022P5;PARASITOLOGIA;9;;UFPEL;2004;;2019/12/13 16:56:36.725
33003017052P6;PARASITOLOGIA;9;;UNICAMP;1988;1988;2019/12/13 16:56:36.725
22001018042P7;MICROBIOLOGIA M�DICA;9;;UFC;2002;;2019/12/13 16:56:36.725
10001018002P1;BIOLOGIA EXPERIMENTAL;9;;UNIR;2001;2005;2019/12/13 16:56:36.725
31004016018P3;MICROBIOLOGIA;9;;UERJ;1994;2006;2019/12/13 16:56:36.725
33002045008P7;ENGENHARIA HIDR�ULICA E SANEAMENTO;10;;USP/SC;1970;1976;2019/12/13 16:56:36.725
31005012010P9;ENGENHARIA CIVIL;10;;PUC-RIO;1965;1984;2019/12/13 16:56:36.725
31001017028P0;ENGENHARIA CIVIL;10;;UFRJ;1967;1968;2019/12/13 16:56:36.725
33002045007P0;ENGENHARIA CIVIL (ENGENHARIA DE ESTRUTURAS);10;;USP/SC;1970;1970;2019/12/13 16:56:36.725
53001010032P2;GEOTECNIA;10;;UNB;1989;1995;2019/12/13 16:56:36.725
42001013014P0;ENGENHARIA CIVIL;10;;UFRGS;1970;1986;2019/12/13 16:56:36.725
32001010014P1;SANEAMENTO,  MEIO AMBIENTE E RECURSOS H�DRICOS;10;;UFMG;1972;2000;2019/12/13 16:56:36.725
33002045009P3;GEOTECNIA;10;;USP/SC;1977;1984;2019/12/13 16:56:36.725
33002010130P0;ENGENHARIA CIVIL;10;;USP;1970;1970;2019/12/13 16:56:36.725
41001010023P0;ENGENHARIA CIVIL;10;;UFSC;1991;1999;2019/12/13 16:56:36.725
32001010038P8;ENGENHARIA DE ESTRUTURAS;10;;UFMG;1988;2000;2019/12/13 16:56:36.725
25001019040P2;ENGENHARIA CIVIL;10;;UFPE;1992;2000;2019/12/13 16:56:36.725
53001010030P0;TRANSPORTES;10;;UNB;1988;2005;2019/12/13 16:56:36.725
33002010055P9;ENGENHARIA DE TRANSPORTES;10;;USP;1976;1983;2019/12/13 16:56:36.725
42001013015P6;RECURSOS H�DRICOS E SANEAMENTO AMBIENTAL;10;;UFRGS;1969;1989;2019/12/13 16:56:36.725
31001017038P5;ENGENHARIA DE TRANSPORTES;10;;UFRJ;1979;1991;2019/12/13 16:56:36.725
33002045013P0;ENGENHARIA DE TRANSPORTES;10;;USP/SC;1973;1976;2019/12/13 16:56:36.725
22001018036P7;ENGENHARIA DE TRANSPORTES;10;;UFC;2000;;2019/12/13 16:56:36.725
